Tiempo	LacI	TetR	cI
0	0	0	0
0.0253223	0.0137499	0.113513	0.013723
0.0596299	0.0751851	0.305343	0.0742601
0.0953815	0.18928	0.549656	0.182905
0.13493	0.370529	0.868284	0.345555
0.174478	0.602112	1.2297	0.538426
0.214026	0.873973	1.62242	0.748817
0.256228	1.19645	2.06208	0.98253
0.30621	1.6062	2.59336	1.26242
0.364087	2.10015	3.20489	1.58245
0.436482	2.72504	3.94536	1.96862
0.530742	3.5226	4.84987	2.44017
0.637051	4.37592	5.77758	2.92499
0.762215	5.29995	6.74216	3.43143
0.910842	6.27508	7.71745	3.94708
1.0883	7.26886	8.6638	4.45252
1.3022	8.24068	9.533	4.92398
1.56703	9.14929	10.2729	5.33625
1.84128	9.81043	10.733	5.60638
2.11553	10.2489	10.958	5.75566
2.38979	10.5174	11.0086	5.81508
2.66404	10.6583	10.9316	5.80889
2.9383	10.706	10.7633	5.75587
3.21255	10.6873	10.5311	5.67057
3.48681	10.6234	10.2561	5.56417
3.76106	10.5311	9.95398	5.4453
4.0483	10.4178	9.62148	5.31461
4.33553	10.2987	9.28239	5.18329
4.63938	10.1756	8.92456	5.04853
4.95388	10.059	8.56139	4.91762
5.28125	9.95505	8.19589	4.79402
5.62357	9.86914	7.83063	4.68139
5.98307	9.80595	7.4677	4.58376
6.36137	9.76895	7.10946	4.50576
6.73968	9.7594	6.77521	4.45454
7.11798	9.77252	6.46398	4.43105
7.49628	9.80202	6.17436	4.43595
7.87459	9.84063	5.90482	4.46964
8.25289	9.8806	5.65382	4.53241
8.63119	9.91425	5.41996	4.6244
9.00949	9.93437	5.20203	4.74572
9.3878	9.93469	4.99902	4.89638
9.77989	9.90873	4.80353	5.08346
10.172	9.85199	4.62262	5.30186
10.5641	9.76206	4.45586	5.55124
10.9738	9.63182	4.29649	5.84436
11.3835	9.46533	4.15226	6.1697
11.81	9.25597	4.01834	6.54091
12.2364	9.01362	3.90122	6.94294
12.6899	8.725	3.79562	7.40045
13.1434	8.41069	3.71026	7.88356
13.5969	8.07713	3.64607	8.38526
14.0503	7.73064	3.60418	8.89694
14.5038	7.37707	3.58594	9.40829
14.9573	7.0217	3.59294	9.90759
15.4108	6.66914	3.62702	10.382
15.8643	6.3233	3.69028	10.8181
16.3177	5.9874	3.78506	11.2026
16.7712	5.66404	3.914	11.5233
17.2247	5.35527	4.07996	11.7694
17.6782	5.06266	4.28598	11.9329
18.0749	4.82083	4.50159	12.0043
18.4717	4.59286	4.75247	12.0073
18.8684	4.37919	5.0407	11.9429
19.2652	4.18015	5.36825	11.8138
19.6619	3.99603	5.73677	11.6244
20.0587	3.82703	6.14752	11.3805
20.4555	3.67339	6.60117	11.0889
20.8522	3.53533	7.09757	10.7568
21.266	3.40827	7.65949	10.3758
21.6797	3.29886	8.26387	9.96768
22.0935	3.20762	8.90613	9.54057
22.5072	3.13518	9.57972	9.1019
22.9209	3.08236	10.2758	8.65834
23.3347	3.05016	10.9834	8.21563
23.7484	3.03981	11.6893	7.77864
24.1622	3.05275	12.3781	7.35135
24.5759	3.09073	13.0334	6.93694
24.9897	3.15576	13.6378	6.53787
25.4034	3.25018	14.1743	6.15595
25.8172	3.37664	14.627	5.79246
26.2309	3.53813	14.9824	5.44825
26.6447	3.73798	15.2302	5.12377
27.0109	3.94979	15.3546	4.85317
27.3772	4.19719	15.3881	4.59818
27.7434	4.48302	15.3318	4.35869
28.1097	4.81021	15.1894	4.13454
28.4759	5.18168	14.9667	3.92549
28.8422	5.6003	14.6713	3.73133
29.2084	6.06875	14.3121	3.55182
29.5747	6.58936	13.8987	3.38674
29.941	7.16393	13.441	3.23592
30.3072	7.79357	12.9489	3.09923
30.6869	8.50455	12.4123	2.97237
31.0666	9.27351	11.8583	2.86065
31.4463	10.0974	11.2952	2.7642
31.826	10.9711	10.7307	2.68326
32.2057	11.8871	10.1708	2.61822
32.5854	12.8351	9.62091	2.56961
32.9651	13.8023	9.08503	2.53816
33.3448	14.7732	8.56639	2.52477
33.7245	15.7298	8.06738	2.53055
34.1042	16.6521	7.58968	2.55685
34.4839	17.519	7.13438	2.60527
34.8636	18.3093	6.70208	2.67769
35.2433	19.0023	6.29298	2.77627
35.623	19.5798	5.90701	2.90351
36.0027	20.0266	5.54381	3.06222
36.3824	20.3319	5.20288	3.25557
36.7621	20.4899	4.88358	3.48711
37.1418	20.4997	4.58519	3.76069
37.5215	20.3659	4.30695	4.08056
37.9012	20.0974	4.04807	4.45123
38.2809	19.7069	3.80779	4.8775
38.6606	19.2097	3.58534	5.36432
39.0403	18.6228	3.38002	5.91669
39.42	17.9636	3.19118	6.53951
39.7997	17.2493	3.01823	7.23736
40.1794	16.4962	2.86066	8.01419
40.5591	15.7188	2.71806	8.87308
40.9388	14.9303	2.5901	9.81576
41.2776	14.2261	2.48811	10.7278
41.6164	13.5284	2.39754	11.705
41.9553	12.8425	2.3184	12.7444
42.2941	12.1729	2.25079	13.8407
42.6329	11.523	2.19491	14.9867
42.9718	10.8953	2.15105	16.1726
43.3106	10.2917	2.11963	17.3862
43.6494	9.71342	2.10117	18.6128
44.0041	9.13606	2.09646	19.892
44.3587	8.58758	2.10762	21.1447
44.7281	8.04702	2.13732	22.3953
45.0974	7.53726	2.18697	23.5631
45.4667	7.05757	2.25832	24.62
45.8361	6.60702	2.35346	25.5394
46.2054	6.18454	2.47477	26.2978
46.5748	5.78895	2.62496	26.8763
46.9441	5.41903	2.80713	27.2619
47.3134	5.07355	3.02476	27.4482
47.6828	4.75128	3.28171	27.4355
48.015	4.48023	3.54995	27.2601
48.3472	4.22611	3.85689	26.939
48.6794	3.9881	4.2062	26.4846
49.0116	3.76543	4.60179	25.9118
49.3438	3.55734	5.0478	25.2371
49.6759	3.36314	5.54856	24.4776
50.0081	3.18219	6.10849	23.6502
50.3403	3.01388	6.73203	22.7713
50.6725	2.85768	7.42358	21.8562
51.016	2.70836	8.21461	20.8864
51.3596	2.57098	9.08695	19.906
51.7031	2.44512	10.0441	18.9266
